timestamp,host,problem,best20,gap,envelope_residual
2026-07-11 22:52:09,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-11 22:52:09,Adrians-MacBook-Pro-3,medium-graph,-1739573,+5549,+2799
2026-07-11 22:52:09,Adrians-MacBook-Pro-3,large-graph,-5476686,+16376,+1133
2026-07-12 12:14:25,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 12:14:25,Adrians-MacBook-Pro-3,medium-graph,-1739573,+5549,+2780
2026-07-12 12:14:25,Adrians-MacBook-Pro-3,large-graph,-5477154,+15908,-98
2026-07-12 13:23:44,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 13:23:44,Adrians-MacBook-Pro-3,medium-graph,-1739501,+5621,+2851
2026-07-12 13:23:44,Adrians-MacBook-Pro-3,large-graph,-5475038,+18024,+3776
2026-07-12 18:48:33,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 18:48:33,Adrians-MacBook-Pro-3,medium-graph,-1739725,+5397,+2657
2026-07-12 18:48:33,Adrians-MacBook-Pro-3,large-graph,-5476779,+16283,+2058
2026-07-12 19:22:53,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 19:22:53,Adrians-MacBook-Pro-3,medium-graph,-1739773,+5349,+2574
2026-07-12 19:22:53,Adrians-MacBook-Pro-3,large-graph,-5476935,+16127,+1758
2026-07-12 19:44:43,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 19:44:43,Adrians-MacBook-Pro-3,medium-graph,-1739787,+5335,+2555
2026-07-12 19:44:43,Adrians-MacBook-Pro-3,large-graph,-5477717,+15345,+1381
2026-07-12 21:41:08,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 21:41:08,Adrians-MacBook-Pro-3,medium-graph,-1739817,+5305,+2472
2026-07-12 21:41:08,Adrians-MacBook-Pro-3,large-graph,-5478406,+14656,+557
2026-07-12 21:49:04,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-12 21:49:04,Adrians-MacBook-Pro-3,medium-graph,-1739824,+5298,+2471
2026-07-12 21:49:04,Adrians-MacBook-Pro-3,large-graph,-5478410,+14652,+547
2026-07-13 11:20:42,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-13 11:20:42,Adrians-MacBook-Pro-3,medium-graph,-1740119,+5003,+2069
2026-07-13 11:20:42,Adrians-MacBook-Pro-3,large-graph,-5480451,+12611,-1328
2026-07-13 11:54:02,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-13 11:54:02,Adrians-MacBook-Pro-3,medium-graph,-1740131,+4991,+2066
2026-07-13 11:54:02,Adrians-MacBook-Pro-3,large-graph,-5480605,+12457,-1556
2026-07-13 22:08:38,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-13 22:08:38,Adrians-MacBook-Pro-3,medium-graph,-1740405,+4717,+1585
2026-07-13 22:08:38,Adrians-MacBook-Pro-3,large-graph,-5481135,+11927,-2045
2026-07-14 15:57:27,Adrians-MacBook-Pro-3,small-graph,-1829914,+5,+5
2026-07-14 15:57:27,Adrians-MacBook-Pro-3,medium-graph,-1740711,+4411,+1279
