band,torso_size,cv_auc,degree,nbr-degree,eig-low(1..16),eig-high(17..32),ruggedness,neutrality
8,32,0.9850,-0.0000,0.0029,0.1116,0.0699,nan,nan
16,66,0.9806,0.0628,0.0244,0.2083,0.0157,nan,nan
32,103,0.9518,0.0939,0.0120,0.1898,0.0686,nan,nan
48,148,0.9454,0.0625,0.0013,0.2133,0.0455,nan,nan
64,181,0.9301,0.1014,-0.0020,0.2273,0.0382,nan,nan
96,262,0.9566,0.0616,0.0349,0.1595,0.0872,nan,nan
128,588,0.9930,0.0019,0.0021,0.3535,0.0115,nan,nan
160,670,0.9911,0.0055,0.0055,0.2739,0.0216,nan,nan
192,746,0.9880,0.0078,0.0039,0.2694,0.0302,nan,nan
208,762,0.9821,0.0106,0.0078,0.2535,0.0286,nan,nan
224,838,0.9880,0.0026,0.0028,0.3139,0.0332,nan,nan
236,919,0.9836,0.0101,0.0229,0.2220,0.0312,nan,nan
242,1034,0.9594,0.0037,0.0041,0.2037,0.0490,nan,nan
247,1047,0.9623,0.0070,0.0038,0.2134,0.0429,nan,nan
