band,torso_size,cv_auc,degree,nbr-degree,eig-low(1..16),eig-high(17..32),ruggedness,neutrality
1,273,0.9924,0.0008,0.1844,0.0024,0.0032,1.0000,1.0000
2,289,0.9926,-0.0017,0.1725,0.0309,0.0030,1.0000,1.0000
3,313,0.9984,0.0005,0.1849,0.0533,0.0095,1.0000,1.0000
4,345,0.9990,0.0001,0.1840,0.0685,0.0242,1.0000,0.0000
5,385,0.9984,0.0001,0.1731,0.0799,0.0336,1.0000,0.0000
6,433,0.9954,0.0000,0.1340,0.1108,0.0421,1.0000,0.0000
7,489,0.9968,0.0016,0.1167,0.1360,0.0421,1.0000,0.0000
8,581,0.9978,0.0001,0.0633,0.2107,0.0207,nan,nan
9,678,0.9964,-0.0001,-0.0001,0.4324,0.0132,nan,nan
10,782,0.9984,-0.0000,0.0001,0.4421,0.0071,nan,nan
11,887,0.9987,0.0000,-0.0000,0.4609,0.0105,nan,nan
12,1004,0.9980,-0.0001,0.0001,0.4763,0.0060,nan,nan
13,1121,0.9994,-0.0000,-0.0000,0.4018,0.0062,nan,nan
14,1238,0.9999,0.0000,0.0000,0.4221,0.0000,nan,nan
