algo,problem,score,elapsed_s,budget_s,prev_score,delta,error
hc1,small-graph,-1357,25.01,25,-1396010,1394653,
hc2,small-graph,-1734246,25.02,25,-1734246,0,
hc3,small-graph,-1683648,25.06,25,-1735516,51868,
hc4,small-graph,-1810522,25.29,25,-1810555,33,
hc5,small-graph,-1810650,25.29,25,-1810728,78,
hc6,small-graph,-1810687,25.96,25,-1810261,-426,
hc7,small-graph,-1810592,25.29,25,-1810606,14,
hc8,small-graph,-1810645,25.30,25,-1810651,6,
hc9,small-graph,-1813408,25.32,25,-1813471,63,
hc10,small-graph,-1811842,28.40,25,-1811842,0,
hc11,small-graph,-1810650,25.29,25,-1810728,78,
hc12,small-graph,-1810510,25.29,25,-1810510,0,
hc13,small-graph,-1810668,25.28,25,-1810668,0,
hc14,small-graph,-1810510,25.34,25,-1810504,-6,
hc1,medium-graph,-1135970,12.02,12,-1256302,120332,
hc2,medium-graph,-1256302,12.02,12,-1256302,0,
hc3,medium-graph,-0,12.26,12,-0,0,
hc4,medium-graph,-1604342,12.73,12,-1604342,0,
hc5,medium-graph,-1606676,12.81,12,-1606826,150,
hc6,medium-graph,-1599788,13.14,12,-1604628,4840,
hc7,medium-graph,-1606935,12.76,12,-1607115,180,
hc8,medium-graph,-1602172,12.77,12,-1602172,0,
hc9,medium-graph,-1607516,12.72,12,-1607517,1,
hc10,medium-graph,-1603546,15.96,12,-1603546,0,
hc11,medium-graph,-1606826,12.70,12,-1606826,0,
hc12,medium-graph,-1603829,12.71,12,-1603830,1,
hc13,medium-graph,-1605000,12.71,12,-1605010,10,
hc14,medium-graph,-1606335,12.99,12,-1606351,16,
hc1,large-graph,-4267725,25.15,25,-4670050,402325,
hc2,large-graph,-4670050,25.15,25,-4670050,0,
hc3,large-graph,-0,25.91,25,-0,0,
hc4,large-graph,-4790548,28.16,25,-4790548,0,
hc5,large-graph,-4799384,28.22,25,-4799384,0,
hc6,large-graph,-4778553,33.53,25,-4798388,19835,
hc7,large-graph,-4798986,28.21,25,-4802531,3545,
hc8,large-graph,-4786316,28.22,25,-4786316,0,
hc9,large-graph,-4793125,28.16,25,-4793509,384,
hc10,large-graph,-4725645,42.21,25,-4764249,38604,
hc11,large-graph,-4799384,28.27,25,-4799438,54,
hc12,large-graph,-4785851,28.21,25,-4780244,-5607,
hc13,large-graph,-4800196,28.15,25,-4800196,0,
hc14,large-graph,-4776273,28.52,25,-4776273,0,
