t_s,hv
0.500,1814469
0.800,1814642
1.100,1814642
1.300,1814706
1.600,1814778
1.900,1814804
2.300,1814823
2.800,1814823
3.200,1814823
3.700,1814823
4.200,1814823
4.600,1814823
5.100,1814823
5.500,1814823
6.000,1814823
6.600,1814823
7.100,1814823
7.700,1814847
8.200,1814847
8.700,1814847
9.100,1814847
9.800,1814847
10.400,1814847
11.400,1814855
12.100,1814855
12.600,1814855
13.200,1814855
13.800,1814855
14.500,1814855
15.200,1814855
15.800,1814859
16.600,1814864
17.300,1814864
18.000,1814864
18.600,1814864
19.200,1814865
19.700,1814865
20.200,1814865
20.700,1814865
21.000,1814865
21.500,1814865
22.000,1814896
22.400,1814896
22.800,1814896
23.200,1814896
23.700,1814896
24.200,1814896
24.700,1814896
