idx,name,n,target_avg,edges,real_avg,max_deg
1,inst_01_n200_d3,200,3,287,2.87,8
2,inst_02_n200_d8,200,8,804,8.04,14
3,inst_03_n200_d18,200,18,1880,18.80,30
4,inst_04_n200_d35,200,35,3656,36.56,51
5,inst_05_n350_d3,350,3,495,2.83,10
6,inst_06_n350_d8,350,8,1379,7.88,16
7,inst_07_n350_d18,350,18,3039,17.37,28
8,inst_08_n350_d35,350,35,6180,35.31,51
9,inst_09_n500_d3,500,3,733,2.93,11
10,inst_10_n500_d8,500,8,1954,7.82,17
11,inst_11_n500_d18,500,18,4504,18.02,33
12,inst_12_n500_d35,500,35,8629,34.52,57
13,inst_13_n750_d3,750,3,1117,2.98,9
14,inst_14_n750_d8,750,8,2952,7.87,18
15,inst_15_n750_d18,750,18,6642,17.71,34
16,inst_16_n750_d35,750,35,13261,35.36,52
17,inst_17_n1000_d3,1000,3,1503,3.01,8
18,inst_18_n1000_d8,1000,8,3918,7.84,19
19,inst_19_n1000_d18,1000,18,8962,17.92,33
20,inst_20_n1000_d35,1000,35,17613,35.23,54
