config,problem,seed,score,elapsed_s
hc9,small-graph,1,-1814257,25.50
hc9,small-graph,2,-1815477,25.47
hc9,small-graph,3,-1813408,25.48
hc9,small-graph,4,-1814632,25.46
hc9,small-graph,5,-1814840,25.46
hc9,small-graph,6,-1815562,25.47
hc9,small-graph,7,-1813427,25.45
hc9,small-graph,8,-1813878,25.46
hc9,small-graph,9,-1813744,25.46
hc9,small-graph,10,-1813887,25.45
hc9,small-graph,11,-1815203,25.47
sa,small-graph,1,-1812973,25.61
sa,small-graph,2,-1814440,25.60
sa,small-graph,3,-1812973,25.61
sa,small-graph,4,-1814395,25.61
sa,small-graph,5,-1814329,25.60
sa,small-graph,6,-1813081,25.59
sa,small-graph,7,-1813162,25.67
sa,small-graph,8,-1813027,25.66
sa,small-graph,9,-1813134,25.61
sa,small-graph,10,-1812973,25.60
sa,small-graph,11,-1814425,25.60
sa_amosa,small-graph,1,-1813141,25.64
sa_amosa,small-graph,2,-1814482,25.61
sa_amosa,small-graph,3,-1813011,25.62
sa_amosa,small-graph,4,-1814653,25.62
sa_amosa,small-graph,5,-1814650,25.60
sa_amosa,small-graph,6,-1813090,25.60
sa_amosa,small-graph,7,-1813132,25.62
sa_amosa,small-graph,8,-1813183,25.62
sa_amosa,small-graph,9,-1813153,25.62
sa_amosa,small-graph,10,-1813310,25.60
sa_amosa,small-graph,11,-1814523,25.61
grasp,small-graph,1,-1813754,25.02
grasp,small-graph,2,-1813329,25.02
grasp,small-graph,3,-1813744,25.02
grasp,small-graph,4,-1813607,25.02
grasp,small-graph,5,-1814837,25.02
grasp,small-graph,6,-1814875,25.02
grasp,small-graph,7,-1814730,25.01
grasp,small-graph,8,-1813252,25.01
grasp,small-graph,9,-1815084,25.02
grasp,small-graph,10,-1813517,25.01
grasp,small-graph,11,-1813372,25.01
grasp_pr,small-graph,1,-1814731,25.02
grasp_pr,small-graph,2,-1813580,25.02
grasp_pr,small-graph,3,-1814836,25.01
grasp_pr,small-graph,4,-1814048,25.02
grasp_pr,small-graph,5,-1813185,25.02
grasp_pr,small-graph,6,-1814617,25.01
grasp_pr,small-graph,7,-1812398,25.02
grasp_pr,small-graph,8,-1814518,25.01
grasp_pr,small-graph,9,-1812574,25.02
grasp_pr,small-graph,10,-1813265,25.02
grasp_pr,small-graph,11,-1814218,25.01
vns,small-graph,1,-1813392,25.45
vns,small-graph,2,-1814958,25.45
vns,small-graph,3,-1813752,25.45
vns,small-graph,4,-1815439,25.45
vns,small-graph,5,-1815157,25.45
vns,small-graph,6,-1813500,25.45
