algo,problem,seed,score,elapsed_s
hc5,small-graph,1,-1813206,25.48
hc5,small-graph,2,-1814804,25.44
hc5,small-graph,3,-1813607,25.45
hc5,small-graph,4,-1814554,25.45
hc5,small-graph,5,-1814528,25.45
hc5,small-graph,6,-1813207,25.45
hc5,small-graph,7,-1813434,25.45
hc5,small-graph,8,-1813384,25.45
hc5,small-graph,9,-1813278,25.48
hc5,small-graph,10,-1813418,25.44
hc5,small-graph,11,-1814852,25.46
hc9,small-graph,1,-1814261,25.46
hc9,small-graph,2,-1815478,25.46
hc9,small-graph,3,-1813434,25.48
hc9,small-graph,4,-1814635,25.45
hc9,small-graph,5,-1814841,25.46
hc9,small-graph,6,-1815550,25.50
hc9,small-graph,7,-1813427,25.45
hc9,small-graph,8,-1813878,25.46
hc9,small-graph,9,-1813744,25.46
hc9,small-graph,10,-1813887,25.46
hc9,small-graph,11,-1815203,25.47
hc11,small-graph,1,-1813241,25.46
hc11,small-graph,2,-1814612,25.45
hc11,small-graph,3,-1813427,25.45
hc11,small-graph,4,-1814667,25.45
hc11,small-graph,5,-1814614,25.45
hc11,small-graph,6,-1813292,25.45
hc11,small-graph,7,-1813212,25.45
hc11,small-graph,8,-1813303,25.45
hc11,small-graph,9,-1813497,25.45
hc11,small-graph,10,-1813210,25.45
hc11,small-graph,11,-1814656,25.46
hc14,small-graph,1,-1813186,25.49
hc14,small-graph,2,-1814522,25.45
hc14,small-graph,3,-1813186,25.47
hc14,small-graph,4,-1814518,25.46
hc14,small-graph,5,-1814522,25.46
hc14,small-graph,6,-1813218,25.47
hc14,small-graph,7,-1813181,25.46
hc14,small-graph,8,-1813181,25.46
hc14,small-graph,9,-1813179,25.48
hc14,small-graph,10,-1813187,25.48
hc14,small-graph,11,-1814518,25.45
hc15,small-graph,1,-1813452,25.46
hc15,small-graph,2,-1815099,25.47
hc15,small-graph,3,-1813781,25.46
hc15,small-graph,4,-1815116,25.45
hc15,small-graph,5,-1816099,25.48
hc15,small-graph,6,-1815662,25.49
hc15,small-graph,7,-1814942,25.46
hc15,small-graph,8,-1815233,25.46
hc15,small-graph,9,-1815608,25.49
hc15,small-graph,10,-1813554,25.45
hc15,small-graph,11,-1815050,25.45
hc5,medium-graph,1,-1604131,13.14
hc5,medium-graph,2,-1611779,13.11
hc5,medium-graph,3,-1596886,13.16
hc5,medium-graph,4,-1614102,13.12
hc5,medium-graph,5,-1614068,13.13
hc5,medium-graph,6,-1607505,13.10
hc5,medium-graph,7,-1588028,13.11
hc5,medium-graph,8,-1598233,13.16
hc5,medium-graph,9,-1604504,13.11
hc5,medium-graph,10,-1612775,13.12
hc5,medium-graph,11,-1613212,13.15
hc9,medium-graph,1,-1607584,13.14
hc9,medium-graph,2,-1616206,13.13
hc9,medium-graph,3,-1601014,13.16
hc9,medium-graph,4,-1615486,13.12
hc9,medium-graph,5,-1615490,13.11
hc9,medium-graph,6,-1608853,13.13
hc9,medium-graph,7,-1591704,13.12
hc9,medium-graph,8,-1601120,13.15
hc9,medium-graph,9,-1608648,13.13
hc9,medium-graph,10,-1615530,13.12
hc9,medium-graph,11,-1616521,13.12
hc11,medium-graph,1,-1605722,13.13
hc11,medium-graph,2,-1614376,13.12
hc11,medium-graph,3,-1600103,13.16
hc11,medium-graph,4,-1615044,13.12
hc11,medium-graph,5,-1615256,13.14
hc11,medium-graph,6,-1607382,13.13
hc11,medium-graph,7,-1590960,13.10
hc11,medium-graph,8,-1598796,13.14
hc11,medium-graph,9,-1607521,13.12
hc11,medium-graph,10,-1614663,13.13
hc11,medium-graph,11,-1613626,13.10
hc14,medium-graph,1,-1602727,13.12
hc14,medium-graph,2,-1611645,13.22
hc14,medium-graph,3,-1596211,13.31
hc14,medium-graph,4,-1610528,13.35
hc14,medium-graph,5,-1610519,13.18
hc14,medium-graph,6,-1603846,13.42
hc14,medium-graph,7,-1586056,13.23
hc14,medium-graph,8,-1595960,13.31
hc14,medium-graph,9,-1604613,13.32
hc14,medium-graph,10,-1610568,13.36
hc14,medium-graph,11,-1610950,13.30
hc15,medium-graph,1,-1607630,13.16
hc15,medium-graph,2,-1618658,13.17
hc15,medium-graph,3,-1600966,13.18
hc15,medium-graph,4,-1615688,13.17
hc15,medium-graph,5,-1616276,13.19
hc15,medium-graph,6,-1608921,13.17
hc15,medium-graph,7,-1592073,13.22
hc15,medium-graph,8,-1601679,13.20
hc15,medium-graph,9,-1608658,13.17
hc15,medium-graph,10,-1615495,13.23
hc15,medium-graph,11,-1615569,13.21
hc5,large-graph,1,-4816146,28.68
hc5,large-graph,2,-4797156,28.26
hc5,large-graph,3,-4821870,28.12
hc5,large-graph,4,-4807309,28.14
hc5,large-graph,5,-4809700,28.17
hc5,large-graph,6,-4809241,28.24
hc5,large-graph,7,-4812038,28.16
hc5,large-graph,8,-4802511,28.24
hc5,large-graph,9,-4804733,28.25
hc5,large-graph,10,-4801860,28.26
hc5,large-graph,11,-4801337,28.27
hc9,large-graph,1,-4793372,28.22
hc9,large-graph,2,-4792181,28.25
hc9,large-graph,3,-4802474,28.25
hc9,large-graph,4,-4792996,28.25
hc9,large-graph,5,-4800632,28.21
hc9,large-graph,6,-4793363,28.17
hc9,large-graph,7,-4793393,28.13
hc9,large-graph,8,-4793582,28.14
hc9,large-graph,9,-4800670,28.12
hc9,large-graph,10,-4792739,28.21
hc9,large-graph,11,-4793621,28.19
hc11,large-graph,1,-4785944,28.13
hc11,large-graph,2,-4798820,28.19
hc11,large-graph,3,-4819007,28.20
hc11,large-graph,4,-4802643,28.23
hc11,large-graph,5,-4798234,28.19
hc11,large-graph,6,-4798962,28.23
hc11,large-graph,7,-4804220,28.15
hc11,large-graph,8,-4782821,28.12
hc11,large-graph,9,-4794662,28.18
hc11,large-graph,10,-4790380,28.13
hc11,large-graph,11,-4801613,28.16
hc14,large-graph,1,-4776123,28.56
hc14,large-graph,2,-4784960,28.60
hc14,large-graph,3,-4778552,28.95
hc14,large-graph,4,-4777983,28.74
hc14,large-graph,5,-4775821,29.52
hc14,large-graph,6,-4776385,28.32
hc14,large-graph,7,-4776152,28.22
hc14,large-graph,8,-4779511,28.39
hc14,large-graph,9,-4780674,28.59
hc14,large-graph,10,-4776317,28.30
hc14,large-graph,11,-4779110,28.25
hc15,large-graph,1,-4793630,28.22
hc15,large-graph,2,-4793616,28.15
hc15,large-graph,3,-4794337,28.21
hc15,large-graph,4,-4793644,28.23
hc15,large-graph,5,-4793640,28.23
hc15,large-graph,6,-4793635,28.18
hc15,large-graph,7,-4793634,28.20
hc15,large-graph,8,-4793623,28.25
hc15,large-graph,9,-4793602,28.33
hc15,large-graph,10,-4793640,28.27
hc15,large-graph,11,-4793637,28.25
