tech,problem,seed,budget,ants,alpha,beta,rho,score
aco,small-graph,42,25,5,1.0,1.0,0.05,-1772504.0
aco,small-graph,42,25,5,1.0,1.0,0.1,-1775642.0
aco,small-graph,42,25,5,1.0,1.0,0.3,-1764226.0
aco,small-graph,42,25,5,1.0,2.0,0.05,-1779783.0
aco,small-graph,42,25,5,1.0,2.0,0.1,-1777215.0
aco,small-graph,42,25,5,1.0,2.0,0.3,-1775072.0
aco,small-graph,42,25,5,1.0,4.0,0.05,-1793487.0
aco,small-graph,42,25,5,1.0,4.0,0.1,-1794916.0
aco,small-graph,42,25,5,1.0,4.0,0.3,-1797199.0
aco,small-graph,42,25,10,1.0,1.0,0.05,-1777072.0
aco,small-graph,42,25,10,1.0,1.0,0.1,-1768791.0
aco,small-graph,42,25,10,1.0,1.0,0.3,-1766792.0
aco,small-graph,42,25,10,1.0,2.0,0.05,-1781211.0
aco,small-graph,42,25,10,1.0,2.0,0.1,-1778139.0
aco,small-graph,42,25,10,1.0,2.0,0.3,-1780712.0
aco,small-graph,42,25,10,1.0,4.0,0.05,-1793414.0
aco,small-graph,42,25,10,1.0,4.0,0.1,-1794700.0
aco,small-graph,42,25,10,1.0,4.0,0.3,-1794628.0
aco,small-graph,42,25,20,1.0,1.0,0.05,-1769149.0
aco,small-graph,42,25,20,1.0,1.0,0.1,-1768078.0
aco,small-graph,42,25,20,1.0,1.0,0.3,-1768078.0
aco,small-graph,42,25,20,1.0,2.0,0.05,-1774643.0
aco,small-graph,42,25,20,1.0,2.0,0.1,-1774573.0
aco,small-graph,42,25,20,1.0,2.0,0.3,-1772505.0
aco,small-graph,42,25,20,1.0,4.0,0.05,-1794701.0
aco,small-graph,42,25,20,1.0,4.0,0.1,-1798483.0
aco,small-graph,42,25,20,1.0,4.0,0.3,-1797340.0
aco,medium-graph,42,12,5,1.0,1.0,0.05,-0.0
aco,medium-graph,42,12,5,1.0,1.0,0.1,-0.0
aco,medium-graph,42,12,5,1.0,1.0,0.3,-0.0
aco,medium-graph,42,12,5,1.0,2.0,0.05,-1384997.0
aco,medium-graph,42,12,5,1.0,2.0,0.1,-1384997.0
aco,medium-graph,42,12,5,1.0,2.0,0.3,-1384997.0
aco,medium-graph,42,12,5,1.0,4.0,0.05,-1513098.0
aco,medium-graph,42,12,5,1.0,4.0,0.1,-1513098.0
aco,medium-graph,42,12,5,1.0,4.0,0.3,-1513098.0
aco,medium-graph,42,12,10,1.0,1.0,0.05,-0.0
aco,medium-graph,42,12,10,1.0,1.0,0.1,-0.0
aco,medium-graph,42,12,10,1.0,1.0,0.3,-0.0
aco,medium-graph,42,12,10,1.0,2.0,0.05,-1384997.0
aco,medium-graph,42,12,10,1.0,2.0,0.1,-1390149.0
aco,medium-graph,42,12,10,1.0,2.0,0.3,-1384997.0
aco,medium-graph,42,12,10,1.0,4.0,0.05,-1513761.0
aco,medium-graph,42,12,10,1.0,4.0,0.1,-1513761.0
aco,medium-graph,42,12,10,1.0,4.0,0.3,-1513761.0
aco,medium-graph,42,12,20,1.0,1.0,0.05,-0.0
aco,medium-graph,42,12,20,1.0,1.0,0.1,-0.0
aco,medium-graph,42,12,20,1.0,1.0,0.3,-0.0
aco,medium-graph,42,12,20,1.0,2.0,0.05,-1394565.0
aco,medium-graph,42,12,20,1.0,2.0,0.1,-1394565.0
aco,medium-graph,42,12,20,1.0,2.0,0.3,-1394565.0
aco,medium-graph,42,12,20,1.0,4.0,0.05,-1513761.0
aco,medium-graph,42,12,20,1.0,4.0,0.1,-1513761.0
aco,medium-graph,42,12,20,1.0,4.0,0.3,-1513761.0
aco,large-graph,42,25,5,1.0,1.0,0.05,-0.0
aco,large-graph,42,25,5,1.0,1.0,0.1,-0.0
aco,large-graph,42,25,5,1.0,1.0,0.3,-0.0
aco,large-graph,42,25,5,1.0,2.0,0.05,-0.0
aco,large-graph,42,25,5,1.0,2.0,0.1,-0.0
aco,large-graph,42,25,5,1.0,2.0,0.3,-0.0
aco,large-graph,42,25,5,1.0,4.0,0.05,-0.0
aco,large-graph,42,25,5,1.0,4.0,0.1,-0.0
aco,large-graph,42,25,5,1.0,4.0,0.3,-0.0
aco,large-graph,42,25,10,1.0,1.0,0.05,-0.0
aco,large-graph,42,25,10,1.0,1.0,0.1,-0.0
aco,large-graph,42,25,10,1.0,1.0,0.3,-0.0
aco,large-graph,42,25,10,1.0,2.0,0.05,-0.0
aco,large-graph,42,25,10,1.0,2.0,0.1,-0.0
aco,large-graph,42,25,10,1.0,2.0,0.3,-0.0
aco,large-graph,42,25,10,1.0,4.0,0.05,-0.0
aco,large-graph,42,25,10,1.0,4.0,0.1,-0.0
aco,large-graph,42,25,10,1.0,4.0,0.3,-0.0
aco,large-graph,42,25,20,1.0,1.0,0.05,-0.0
aco,large-graph,42,25,20,1.0,1.0,0.1,-0.0
aco,large-graph,42,25,20,1.0,1.0,0.3,-0.0
aco,large-graph,42,25,20,1.0,2.0,0.05,-0.0
aco,large-graph,42,25,20,1.0,2.0,0.1,-0.0
aco,large-graph,42,25,20,1.0,2.0,0.3,-0.0
aco,large-graph,42,25,20,1.0,4.0,0.05,-0.0
aco,large-graph,42,25,20,1.0,4.0,0.1,-0.0
aco,large-graph,42,25,20,1.0,4.0,0.3,-0.0
