tech,problem,seed,budget,ants,beta,rho,ls_steps,score
aco_ls,small-graph,42,25,5,1.0,0.1,100,-1760444.0
aco_ls,small-graph,42,25,5,1.0,0.1,200,-1767383.0
aco_ls,small-graph,42,25,5,1.0,0.1,400,-1776603.0
aco_ls,small-graph,42,25,5,1.0,0.3,100,-1769811.0
aco_ls,small-graph,42,25,5,1.0,0.3,200,-1764575.0
aco_ls,small-graph,42,25,5,1.0,0.3,400,-1776603.0
aco_ls,small-graph,42,25,5,2.0,0.1,100,-1778075.0
aco_ls,small-graph,42,25,5,2.0,0.1,200,-1781096.0
aco_ls,small-graph,42,25,5,2.0,0.1,400,-1775763.0
aco_ls,small-graph,42,25,5,2.0,0.3,100,-1783252.0
aco_ls,small-graph,42,25,5,2.0,0.3,200,-1778547.0
aco_ls,small-graph,42,25,5,2.0,0.3,400,-1773027.0
aco_ls,small-graph,42,25,5,4.0,0.1,100,-1793075.0
aco_ls,small-graph,42,25,5,4.0,0.1,200,-1795807.0
aco_ls,small-graph,42,25,5,4.0,0.1,400,-1793225.0
aco_ls,small-graph,42,25,5,4.0,0.3,100,-1790638.0
aco_ls,small-graph,42,25,5,4.0,0.3,200,-1796376.0
aco_ls,small-graph,42,25,5,4.0,0.3,400,-1790035.0
aco_ls,small-graph,42,25,10,1.0,0.1,100,-1766330.0
aco_ls,small-graph,42,25,10,1.0,0.1,200,-1768333.0
aco_ls,small-graph,42,25,10,1.0,0.1,400,-1776611.0
aco_ls,small-graph,42,25,10,1.0,0.3,100,-1766188.0
aco_ls,small-graph,42,25,10,1.0,0.3,200,-1769300.0
aco_ls,small-graph,42,25,10,1.0,0.3,400,-1776611.0
aco_ls,small-graph,42,25,10,2.0,0.1,100,-1784872.0
aco_ls,small-graph,42,25,10,2.0,0.1,200,-1782087.0
aco_ls,small-graph,42,25,10,2.0,0.1,400,-1781126.0
aco_ls,small-graph,42,25,10,2.0,0.3,100,-1780499.0
aco_ls,small-graph,42,25,10,2.0,0.3,200,-1782072.0
aco_ls,small-graph,42,25,10,2.0,0.3,400,-1781126.0
aco_ls,small-graph,42,25,10,4.0,0.1,100,-1793420.0
aco_ls,small-graph,42,25,10,4.0,0.1,200,-1792970.0
aco_ls,small-graph,42,25,10,4.0,0.1,400,-1793626.0
aco_ls,small-graph,42,25,10,4.0,0.3,100,-1794490.0
aco_ls,small-graph,42,25,10,4.0,0.3,200,-1795365.0
aco_ls,small-graph,42,25,10,4.0,0.3,400,-1793110.0
aco_ls,medium-graph,42,12,5,1.0,0.1,100,-1256302.0
aco_ls,medium-graph,42,12,5,1.0,0.1,200,-1256302.0
aco_ls,medium-graph,42,12,5,1.0,0.1,400,-1256302.0
aco_ls,medium-graph,42,12,5,1.0,0.3,100,-1256302.0
aco_ls,medium-graph,42,12,5,1.0,0.3,200,-1256302.0
aco_ls,medium-graph,42,12,5,1.0,0.3,400,-1256302.0
aco_ls,medium-graph,42,12,5,2.0,0.1,100,-1395865.0
aco_ls,medium-graph,42,12,5,2.0,0.1,200,-1398294.0
aco_ls,medium-graph,42,12,5,2.0,0.1,400,-1395861.0
aco_ls,medium-graph,42,12,5,2.0,0.3,100,-1395865.0
aco_ls,medium-graph,42,12,5,2.0,0.3,200,-1398294.0
aco_ls,medium-graph,42,12,5,2.0,0.3,400,-1395861.0
aco_ls,medium-graph,42,12,5,4.0,0.1,100,-1521308.0
aco_ls,medium-graph,42,12,5,4.0,0.1,200,-1524335.0
aco_ls,medium-graph,42,12,5,4.0,0.1,400,-1499109.0
aco_ls,medium-graph,42,12,5,4.0,0.3,100,-1521308.0
aco_ls,medium-graph,42,12,5,4.0,0.3,200,-1524335.0
aco_ls,medium-graph,42,12,5,4.0,0.3,400,-1499109.0
aco_ls,medium-graph,42,12,10,1.0,0.1,100,-1256302.0
aco_ls,medium-graph,42,12,10,1.0,0.1,200,-1256302.0
aco_ls,medium-graph,42,12,10,1.0,0.1,400,-1256302.0
aco_ls,medium-graph,42,12,10,1.0,0.3,100,-1256302.0
aco_ls,medium-graph,42,12,10,1.0,0.3,200,-1256302.0
aco_ls,medium-graph,42,12,10,1.0,0.3,400,-1256302.0
aco_ls,medium-graph,42,12,10,2.0,0.1,100,-1395865.0
aco_ls,medium-graph,42,12,10,2.0,0.1,200,-1398294.0
aco_ls,medium-graph,42,12,10,2.0,0.1,400,-1395861.0
aco_ls,medium-graph,42,12,10,2.0,0.3,100,-1395865.0
aco_ls,medium-graph,42,12,10,2.0,0.3,200,-1398294.0
aco_ls,medium-graph,42,12,10,2.0,0.3,400,-1395861.0
aco_ls,medium-graph,42,12,10,4.0,0.1,100,-1521308.0
aco_ls,medium-graph,42,12,10,4.0,0.1,200,-1524335.0
aco_ls,medium-graph,42,12,10,4.0,0.1,400,-1499109.0
aco_ls,medium-graph,42,12,10,4.0,0.3,100,-1521308.0
aco_ls,medium-graph,42,12,10,4.0,0.3,200,-1524335.0
aco_ls,medium-graph,42,12,10,4.0,0.3,400,-1499109.0
aco_ls,large-graph,42,25,5,1.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,5,1.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,5,1.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,5,1.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,5,1.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,5,1.0,0.3,400,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,5,2.0,0.3,400,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,5,4.0,0.3,400,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,10,1.0,0.3,400,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,10,2.0,0.3,400,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.1,100,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.1,200,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.1,400,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.3,100,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.3,200,-4670050.0
aco_ls,large-graph,42,25,10,4.0,0.3,400,-4670050.0
