tech,problem,seed,budget,ants,alpha,beta,rho,score
aco_mmas,small-graph,42,25,5,1.0,1.0,0.05,-1768506.0
aco_mmas,small-graph,42,25,5,1.0,1.0,0.1,-1767364.0
aco_mmas,small-graph,42,25,5,1.0,1.0,0.3,-1768009.0
aco_mmas,small-graph,42,25,5,1.0,2.0,0.05,-1776288.0
aco_mmas,small-graph,42,25,5,1.0,2.0,0.1,-1776217.0
aco_mmas,small-graph,42,25,5,1.0,2.0,0.3,-1776932.0
aco_mmas,small-graph,42,25,5,1.0,4.0,0.05,-1795629.0
aco_mmas,small-graph,42,25,5,1.0,4.0,0.1,-1792058.0
aco_mmas,small-graph,42,25,5,1.0,4.0,0.3,-1793273.0
aco_mmas,small-graph,42,25,10,1.0,1.0,0.05,-1766724.0
aco_mmas,small-graph,42,25,10,1.0,1.0,0.1,-1769079.0
aco_mmas,small-graph,42,25,10,1.0,1.0,0.3,-1764507.0
aco_mmas,small-graph,42,25,10,1.0,2.0,0.05,-1774429.0
aco_mmas,small-graph,42,25,10,1.0,2.0,0.1,-1775072.0
aco_mmas,small-graph,42,25,10,1.0,2.0,0.3,-1777429.0
aco_mmas,small-graph,42,25,10,1.0,4.0,0.05,-1795842.0
aco_mmas,small-graph,42,25,10,1.0,4.0,0.1,-1793273.0
aco_mmas,small-graph,42,25,10,1.0,4.0,0.3,-1795913.0
aco_mmas,small-graph,42,25,20,1.0,1.0,0.05,-1769149.0
aco_mmas,small-graph,42,25,20,1.0,1.0,0.1,-1771291.0
aco_mmas,small-graph,42,25,20,1.0,1.0,0.3,-1768078.0
aco_mmas,small-graph,42,25,20,1.0,2.0,0.05,-1778143.0
aco_mmas,small-graph,42,25,20,1.0,2.0,0.1,-1776073.0
aco_mmas,small-graph,42,25,20,1.0,2.0,0.3,-1779282.0
aco_mmas,small-graph,42,25,20,1.0,4.0,0.05,-1791988.0
aco_mmas,small-graph,42,25,20,1.0,4.0,0.1,-1793416.0
aco_mmas,small-graph,42,25,20,1.0,4.0,0.3,-1793201.0
aco_mmas,medium-graph,42,12,5,1.0,1.0,0.05,-0.0
aco_mmas,medium-graph,42,12,5,1.0,1.0,0.1,-0.0
aco_mmas,medium-graph,42,12,5,1.0,1.0,0.3,-0.0
aco_mmas,medium-graph,42,12,5,1.0,2.0,0.05,-1395074.0
aco_mmas,medium-graph,42,12,5,1.0,2.0,0.1,-1384997.0
aco_mmas,medium-graph,42,12,5,1.0,2.0,0.3,-1395301.0
aco_mmas,medium-graph,42,12,5,1.0,4.0,0.05,-1513098.0
aco_mmas,medium-graph,42,12,5,1.0,4.0,0.1,-1513098.0
aco_mmas,medium-graph,42,12,5,1.0,4.0,0.3,-1513098.0
aco_mmas,medium-graph,42,12,10,1.0,1.0,0.05,-0.0
aco_mmas,medium-graph,42,12,10,1.0,1.0,0.1,-0.0
aco_mmas,medium-graph,42,12,10,1.0,1.0,0.3,-0.0
aco_mmas,medium-graph,42,12,10,1.0,2.0,0.05,-1384997.0
aco_mmas,medium-graph,42,12,10,1.0,2.0,0.1,-1396183.0
