tech,problem,seed,budget,ants,beta,rho,ls_steps,score
aco_mmas_ls,small-graph,42,25,5,1.0,0.1,100,-1760153.0
aco_mmas_ls,small-graph,42,25,5,1.0,0.1,200,-1764625.0
aco_mmas_ls,small-graph,42,25,5,1.0,0.1,400,-1776606.0
aco_mmas_ls,small-graph,42,25,5,1.0,0.3,100,-1764942.0
aco_mmas_ls,small-graph,42,25,5,1.0,0.3,200,-1764575.0
aco_mmas_ls,small-graph,42,25,5,1.0,0.3,400,-1776619.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.1,100,-1773978.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.1,200,-1775080.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.1,400,-1768615.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.3,100,-1777924.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.3,200,-1778585.0
aco_mmas_ls,small-graph,42,25,5,2.0,0.3,400,-1771488.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.1,100,-1792854.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.1,200,-1792897.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.1,400,-1793141.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.3,100,-1793248.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.3,200,-1790847.0
aco_mmas_ls,small-graph,42,25,5,4.0,0.3,400,-1793110.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.1,100,-1769381.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.1,200,-1768333.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.1,400,-1776611.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.3,100,-1765972.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.3,200,-1768344.0
aco_mmas_ls,small-graph,42,25,10,1.0,0.3,400,-1776611.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.1,100,-1780311.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.1,200,-1782072.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.1,400,-1781126.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.3,100,-1784043.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.3,200,-1782072.0
aco_mmas_ls,small-graph,42,25,10,2.0,0.3,400,-1781126.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.1,100,-1793396.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.1,200,-1793038.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.1,400,-1793110.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.3,100,-1795674.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.3,200,-1795320.0
aco_mmas_ls,small-graph,42,25,10,4.0,0.3,400,-1793110.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.1,100,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.1,200,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.1,400,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.3,100,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.3,200,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,1.0,0.3,400,-1256302.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.1,100,-1395865.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.1,200,-1398294.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.1,400,-1395861.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.3,100,-1395865.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.3,200,-1398294.0
aco_mmas_ls,medium-graph,42,12,5,2.0,0.3,400,-1395861.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.1,100,-1521308.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.1,200,-1524335.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.1,400,-1499109.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.3,100,-1521308.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.3,200,-1524335.0
aco_mmas_ls,medium-graph,42,12,5,4.0,0.3,400,-1499109.0
aco_mmas_ls,medium-graph,42,12,10,1.0,0.1,100,-1256302.0
aco_mmas_ls,medium-graph,42,12,10,1.0,0.1,200,-1256302.0
aco_mmas_ls,medium-graph,42,12,10,1.0,0.1,400,-1256302.0
