tech,problem,seed,budget,alpha,restarts,score
grasp,small-graph,42,25,0.0,4,-1816174.0
grasp,small-graph,42,25,0.0,8,-1815914.0
grasp,small-graph,42,25,0.0,16,-1815987.0
grasp,small-graph,42,25,0.0,32,-1815884.0
grasp,small-graph,42,25,0.1,4,-1813181.0
grasp,small-graph,42,25,0.1,8,-1814688.0
grasp,small-graph,42,25,0.1,16,-1814518.0
grasp,small-graph,42,25,0.1,32,-1814518.0
grasp,small-graph,42,25,0.2,4,-1815044.0
grasp,small-graph,42,25,0.2,8,-1815000.0
grasp,small-graph,42,25,0.2,16,-1814691.0
grasp,small-graph,42,25,0.2,32,-1814673.0
grasp,small-graph,42,25,0.3,4,-1809437.0
grasp,small-graph,42,25,0.3,8,-1812067.0
grasp,small-graph,42,25,0.3,16,-1813609.0
grasp,small-graph,42,25,0.3,32,-1813464.0
grasp,small-graph,42,25,0.5,4,-1800469.0
grasp,small-graph,42,25,0.5,8,-1805424.0
grasp,small-graph,42,25,0.5,16,-1806580.0
grasp,small-graph,42,25,0.5,32,-1807623.0
grasp,medium-graph,42,12,0.0,4,-1599566.0
grasp,medium-graph,42,12,0.0,8,-1615450.0
grasp,medium-graph,42,12,0.0,16,-1615027.0
grasp,medium-graph,42,12,0.0,32,-1608027.0
grasp,medium-graph,42,12,0.1,4,-1614341.0
grasp,medium-graph,42,12,0.1,8,-1614090.0
grasp,medium-graph,42,12,0.1,16,-1613074.0
grasp,medium-graph,42,12,0.1,32,-1606850.0
grasp,medium-graph,42,12,0.2,4,-1591673.0
grasp,medium-graph,42,12,0.2,8,-1589955.0
grasp,medium-graph,42,12,0.2,16,-1593394.0
grasp,medium-graph,42,12,0.2,32,-1589195.0
grasp,medium-graph,42,12,0.3,4,-1562277.0
grasp,medium-graph,42,12,0.3,8,-1563655.0
grasp,medium-graph,42,12,0.3,16,-1557626.0
grasp,medium-graph,42,12,0.3,32,-1557626.0
grasp,medium-graph,42,12,0.5,4,-1496747.0
grasp,medium-graph,42,12,0.5,8,-1494856.0
grasp,medium-graph,42,12,0.5,16,-1494856.0
grasp,medium-graph,42,12,0.5,32,-1494856.0
grasp,large-graph,42,25,0.0,4,-4793064.0
grasp,large-graph,42,25,0.0,8,-4778489.0
grasp,large-graph,42,25,0.0,16,-4768725.0
grasp,large-graph,42,25,0.0,32,-4768725.0
grasp,large-graph,42,25,0.1,4,-4791601.0
grasp,large-graph,42,25,0.1,8,-4775305.0
grasp,large-graph,42,25,0.1,16,-4768725.0
grasp,large-graph,42,25,0.1,32,-4768725.0
grasp,large-graph,42,25,0.2,4,-4910638.0
grasp,large-graph,42,25,0.2,8,-4905723.0
grasp,large-graph,42,25,0.2,16,-4901326.0
grasp,large-graph,42,25,0.2,32,-4901326.0
grasp,large-graph,42,25,0.3,4,-4915292.0
grasp,large-graph,42,25,0.3,8,-4908664.0
grasp,large-graph,42,25,0.3,16,-4908624.0
grasp,large-graph,42,25,0.3,32,-4903233.0
grasp,large-graph,42,25,0.5,4,-4901649.0
grasp,large-graph,42,25,0.5,8,-4888430.0
grasp,large-graph,42,25,0.5,16,-4833959.0
grasp,large-graph,42,25,0.5,32,-4811151.0
