tech,problem,seed,budget,restarts,elite_size,score
grasp_pr,small-graph,42,25,4,3,-1816000.0
grasp_pr,small-graph,42,25,4,5,-1816000.0
grasp_pr,small-graph,42,25,4,8,-1816000.0
grasp_pr,small-graph,42,25,8,3,-1815919.0
grasp_pr,small-graph,42,25,8,5,-1815962.0
grasp_pr,small-graph,42,25,8,8,-1815919.0
grasp_pr,small-graph,42,25,16,3,-1816339.0
grasp_pr,small-graph,42,25,16,5,-1816276.0
grasp_pr,small-graph,42,25,16,8,-1816409.0
grasp_pr,small-graph,42,25,32,3,-1816274.0
grasp_pr,small-graph,42,25,32,5,-1816399.0
grasp_pr,small-graph,42,25,32,8,-1816269.0
grasp_pr,medium-graph,42,12,4,3,-1598130.0
grasp_pr,medium-graph,42,12,4,5,-1598130.0
grasp_pr,medium-graph,42,12,4,8,-1598130.0
grasp_pr,medium-graph,42,12,8,3,-1599221.0
grasp_pr,medium-graph,42,12,8,5,-1597959.0
grasp_pr,medium-graph,42,12,8,8,-1599143.0
grasp_pr,medium-graph,42,12,16,3,-1594299.0
grasp_pr,medium-graph,42,12,16,5,-1594690.0
grasp_pr,medium-graph,42,12,16,8,-1594461.0
grasp_pr,medium-graph,42,12,32,3,-1591549.0
grasp_pr,medium-graph,42,12,32,5,-1591549.0
grasp_pr,medium-graph,42,12,32,8,-1591549.0
grasp_pr,large-graph,42,25,4,3,-4899069.0
grasp_pr,large-graph,42,25,4,5,-4899069.0
grasp_pr,large-graph,42,25,4,8,-4899069.0
grasp_pr,large-graph,42,25,8,3,-4898086.0
grasp_pr,large-graph,42,25,8,5,-4897234.0
grasp_pr,large-graph,42,25,8,8,-4898086.0
grasp_pr,large-graph,42,25,16,3,-4894947.0
grasp_pr,large-graph,42,25,16,5,-4894947.0
grasp_pr,large-graph,42,25,16,8,-4894947.0
grasp_pr,large-graph,42,25,32,3,-4890995.0
grasp_pr,large-graph,42,25,32,5,-4890995.0
grasp_pr,large-graph,42,25,32,8,-4890995.0
