tech,problem,seed,budget,pop,pc,pm,score
nsga2,small-graph,42,25,20,0.7,0.2,-1814563.0
nsga2,small-graph,42,25,20,0.7,0.4,-1815782.0
nsga2,small-graph,42,25,20,0.7,0.6,-1815776.0
nsga2,small-graph,42,25,20,0.9,0.2,-1815395.0
nsga2,small-graph,42,25,20,0.9,0.4,-1814567.0
nsga2,small-graph,42,25,20,0.9,0.6,-1817144.0
nsga2,small-graph,42,25,40,0.7,0.2,-1817539.0
nsga2,small-graph,42,25,40,0.7,0.4,-1814522.0
nsga2,small-graph,42,25,40,0.7,0.6,-1814897.0
nsga2,small-graph,42,25,40,0.9,0.2,-1814624.0
nsga2,small-graph,42,25,40,0.9,0.4,-1815965.0
nsga2,small-graph,42,25,40,0.9,0.6,-1816765.0
nsga2,small-graph,42,25,80,0.7,0.2,-1815164.0
nsga2,small-graph,42,25,80,0.7,0.4,-1815397.0
nsga2,small-graph,42,25,80,0.7,0.6,-1814753.0
nsga2,small-graph,42,25,80,0.9,0.2,-1814756.0
nsga2,small-graph,42,25,80,0.9,0.4,-1814428.0
nsga2,small-graph,42,25,80,0.9,0.6,-1814393.0
nsga2,medium-graph,42,12,20,0.7,0.2,-1589994.0
nsga2,medium-graph,42,12,20,0.7,0.4,-1589195.0
nsga2,medium-graph,42,12,20,0.7,0.6,-1589195.0
nsga2,medium-graph,42,12,20,0.9,0.2,-1594342.0
nsga2,medium-graph,42,12,20,0.9,0.4,-1590136.0
nsga2,medium-graph,42,12,20,0.9,0.6,-1590361.0
nsga2,medium-graph,42,12,40,0.7,0.2,-1589195.0
nsga2,medium-graph,42,12,40,0.7,0.4,-1589195.0
nsga2,medium-graph,42,12,40,0.7,0.6,-1589195.0
nsga2,medium-graph,42,12,40,0.9,0.2,-1589195.0
nsga2,medium-graph,42,12,40,0.9,0.4,-1589195.0
nsga2,medium-graph,42,12,40,0.9,0.6,-1589195.0
nsga2,medium-graph,42,12,80,0.7,0.2,-1589195.0
nsga2,medium-graph,42,12,80,0.7,0.4,-1589195.0
nsga2,medium-graph,42,12,80,0.7,0.6,-1589195.0
nsga2,medium-graph,42,12,80,0.9,0.2,-1589195.0
nsga2,medium-graph,42,12,80,0.9,0.4,-1589195.0
nsga2,medium-graph,42,12,80,0.9,0.6,-1589195.0
nsga2,large-graph,42,25,20,0.7,0.2,-4780209.0
nsga2,large-graph,42,25,20,0.7,0.4,-4780209.0
nsga2,large-graph,42,25,20,0.7,0.6,-4785639.0
nsga2,large-graph,42,25,20,0.9,0.2,-4783912.0
nsga2,large-graph,42,25,20,0.9,0.4,-4814777.0
nsga2,large-graph,42,25,20,0.9,0.6,-4777274.0
nsga2,large-graph,42,25,40,0.7,0.2,-4768725.0
nsga2,large-graph,42,25,40,0.7,0.4,-4768725.0
nsga2,large-graph,42,25,40,0.7,0.6,-4768725.0
nsga2,large-graph,42,25,40,0.9,0.2,-4768725.0
nsga2,large-graph,42,25,40,0.9,0.4,-4768725.0
nsga2,large-graph,42,25,40,0.9,0.6,-4768725.0
nsga2,large-graph,42,25,80,0.7,0.2,-4768725.0
nsga2,large-graph,42,25,80,0.7,0.4,-4768725.0
nsga2,large-graph,42,25,80,0.7,0.6,-4768725.0
nsga2,large-graph,42,25,80,0.9,0.2,-4768725.0
nsga2,large-graph,42,25,80,0.9,0.4,-4768725.0
nsga2,large-graph,42,25,80,0.9,0.6,-4768725.0
