tech,problem,seed,budget,pop,pm,ls_steps,score
nsga2_ls,small-graph,42,25,20,0.3,50,-1814552.0
nsga2_ls,small-graph,42,25,20,0.3,100,-1814583.0
nsga2_ls,small-graph,42,25,20,0.3,200,-1814990.0
nsga2_ls,small-graph,42,25,20,0.6,50,-1814568.0
nsga2_ls,small-graph,42,25,20,0.6,100,-1814690.0
nsga2_ls,small-graph,42,25,20,0.6,200,-1816959.0
nsga2_ls,small-graph,42,25,40,0.3,50,-1814706.0
nsga2_ls,small-graph,42,25,40,0.3,100,-1814462.0
nsga2_ls,small-graph,42,25,40,0.3,200,-1814625.0
nsga2_ls,small-graph,42,25,40,0.6,50,-1814661.0
nsga2_ls,small-graph,42,25,40,0.6,100,-1814329.0
nsga2_ls,small-graph,42,25,40,0.6,200,-1814548.0
nsga2_ls,medium-graph,42,12,20,0.3,50,-1593060.0
nsga2_ls,medium-graph,42,12,20,0.3,100,-1591431.0
nsga2_ls,medium-graph,42,12,20,0.3,200,-1594821.0
nsga2_ls,medium-graph,42,12,20,0.6,50,-1591237.0
nsga2_ls,medium-graph,42,12,20,0.6,100,-1591431.0
nsga2_ls,medium-graph,42,12,20,0.6,200,-1594821.0
nsga2_ls,medium-graph,42,12,40,0.3,50,-1589195.0
nsga2_ls,medium-graph,42,12,40,0.3,100,-1589195.0
nsga2_ls,medium-graph,42,12,40,0.3,200,-1589195.0
nsga2_ls,medium-graph,42,12,40,0.6,50,-1589195.0
nsga2_ls,medium-graph,42,12,40,0.6,100,-1589195.0
nsga2_ls,medium-graph,42,12,40,0.6,200,-1589195.0
nsga2_ls,large-graph,42,25,20,0.3,50,-4768725.0
nsga2_ls,large-graph,42,25,20,0.3,100,-4776072.0
nsga2_ls,large-graph,42,25,20,0.3,200,-4768725.0
nsga2_ls,large-graph,42,25,20,0.6,50,-4768725.0
nsga2_ls,large-graph,42,25,20,0.6,100,-4776072.0
nsga2_ls,large-graph,42,25,20,0.6,200,-4768725.0
nsga2_ls,large-graph,42,25,40,0.3,50,-4768725.0
nsga2_ls,large-graph,42,25,40,0.3,100,-4768725.0
nsga2_ls,large-graph,42,25,40,0.3,200,-4768725.0
nsga2_ls,large-graph,42,25,40,0.6,50,-4768725.0
nsga2_ls,large-graph,42,25,40,0.6,100,-4768725.0
nsga2_ls,large-graph,42,25,40,0.6,200,-4768725.0
