tech,problem,seed,budget,schedule,alpha,steps_per_t,score
sa,small-graph,42,25,geometric,0.85,100,-1814379.0
sa,small-graph,42,25,geometric,0.85,200,-1814411.0
sa,small-graph,42,25,geometric,0.85,400,-1814461.0
sa,small-graph,42,25,geometric,0.9,100,-1814483.0
sa,small-graph,42,25,geometric,0.9,200,-1814379.0
sa,small-graph,42,25,geometric,0.9,400,-1814433.0
sa,small-graph,42,25,geometric,0.95,100,-1814411.0
sa,small-graph,42,25,geometric,0.95,200,-1814413.0
sa,small-graph,42,25,geometric,0.95,400,-1814433.0
sa,small-graph,42,25,geometric,0.99,100,-1814461.0
sa,small-graph,42,25,geometric,0.99,200,-1814433.0
sa,small-graph,42,25,geometric,0.99,400,-1814433.0
sa,small-graph,42,25,linear,0.85,100,-1814379.0
sa,small-graph,42,25,linear,0.85,200,-1814451.0
sa,small-graph,42,25,linear,0.85,400,-1814461.0
sa,small-graph,42,25,linear,0.9,100,-1814379.0
sa,small-graph,42,25,linear,0.9,200,-1814499.0
sa,small-graph,42,25,linear,0.9,400,-1814509.0
sa,small-graph,42,25,linear,0.95,100,-1814379.0
sa,small-graph,42,25,linear,0.95,200,-1814499.0
sa,small-graph,42,25,linear,0.95,400,-1814509.0
sa,small-graph,42,25,linear,0.99,100,-1814379.0
sa,small-graph,42,25,linear,0.99,200,-1814451.0
sa,small-graph,42,25,linear,0.99,400,-1814461.0
sa,small-graph,42,25,adaptive,0.85,100,-1814379.0
sa,small-graph,42,25,adaptive,0.85,200,-1814411.0
sa,small-graph,42,25,adaptive,0.85,400,-1814461.0
sa,small-graph,42,25,adaptive,0.9,100,-1814483.0
sa,small-graph,42,25,adaptive,0.9,200,-1814379.0
sa,small-graph,42,25,adaptive,0.9,400,-1814433.0
sa,small-graph,42,25,adaptive,0.95,100,-1814411.0
sa,small-graph,42,25,adaptive,0.95,200,-1814413.0
sa,small-graph,42,25,adaptive,0.95,400,-1814433.0
sa,small-graph,42,25,adaptive,0.99,100,-1814461.0
sa,small-graph,42,25,adaptive,0.99,200,-1814433.0
sa,small-graph,42,25,adaptive,0.99,400,-1814433.0
sa,medium-graph,42,12,geometric,0.85,100,-1603923.0
sa,medium-graph,42,12,geometric,0.85,200,-1603635.0
sa,medium-graph,42,12,geometric,0.85,400,-1603635.0
sa,medium-graph,42,12,geometric,0.9,100,-1603635.0
sa,medium-graph,42,12,geometric,0.9,200,-1603635.0
sa,medium-graph,42,12,geometric,0.9,400,-1603635.0
sa,medium-graph,42,12,geometric,0.95,100,-1603635.0
sa,medium-graph,42,12,geometric,0.95,200,-1603635.0
sa,medium-graph,42,12,geometric,0.95,400,-1603635.0
sa,medium-graph,42,12,geometric,0.99,100,-1603635.0
sa,medium-graph,42,12,geometric,0.99,200,-1603635.0
sa,medium-graph,42,12,geometric,0.99,400,-1603635.0
sa,medium-graph,42,12,linear,0.85,100,-1603923.0
sa,medium-graph,42,12,linear,0.85,200,-1603923.0
sa,medium-graph,42,12,linear,0.85,400,-1603635.0
sa,medium-graph,42,12,linear,0.9,100,-1603923.0
sa,medium-graph,42,12,linear,0.9,200,-1603923.0
sa,medium-graph,42,12,linear,0.9,400,-1603635.0
sa,medium-graph,42,12,linear,0.95,100,-1603923.0
sa,medium-graph,42,12,linear,0.95,200,-1603923.0
sa,medium-graph,42,12,linear,0.95,400,-1603635.0
sa,medium-graph,42,12,linear,0.99,100,-1603923.0
sa,medium-graph,42,12,linear,0.99,200,-1603923.0
sa,medium-graph,42,12,linear,0.99,400,-1603635.0
sa,medium-graph,42,12,adaptive,0.85,100,-1603923.0
sa,medium-graph,42,12,adaptive,0.85,200,-1603635.0
sa,medium-graph,42,12,adaptive,0.85,400,-1603635.0
sa,medium-graph,42,12,adaptive,0.9,100,-1603635.0
sa,medium-graph,42,12,adaptive,0.9,200,-1603635.0
sa,medium-graph,42,12,adaptive,0.9,400,-1603635.0
sa,medium-graph,42,12,adaptive,0.95,100,-1603635.0
sa,medium-graph,42,12,adaptive,0.95,200,-1603635.0
sa,medium-graph,42,12,adaptive,0.95,400,-1603635.0
sa,medium-graph,42,12,adaptive,0.99,100,-1603635.0
sa,medium-graph,42,12,adaptive,0.99,200,-1603635.0
sa,medium-graph,42,12,adaptive,0.99,400,-1603635.0
sa,large-graph,42,25,geometric,0.85,100,-4777663.0
sa,large-graph,42,25,geometric,0.85,200,-4777663.0
sa,large-graph,42,25,geometric,0.85,400,-4777663.0
sa,large-graph,42,25,geometric,0.9,100,-4777663.0
sa,large-graph,42,25,geometric,0.9,200,-4777663.0
sa,large-graph,42,25,geometric,0.9,400,-4777663.0
sa,large-graph,42,25,geometric,0.95,100,-4777663.0
sa,large-graph,42,25,geometric,0.95,200,-4777663.0
sa,large-graph,42,25,geometric,0.95,400,-4777663.0
sa,large-graph,42,25,geometric,0.99,100,-4777663.0
sa,large-graph,42,25,geometric,0.99,200,-4777663.0
sa,large-graph,42,25,geometric,0.99,400,-4777663.0
sa,large-graph,42,25,linear,0.85,100,-4777663.0
sa,large-graph,42,25,linear,0.85,200,-4777663.0
sa,large-graph,42,25,linear,0.85,400,-4777663.0
sa,large-graph,42,25,linear,0.9,100,-4777663.0
sa,large-graph,42,25,linear,0.9,200,-4777663.0
sa,large-graph,42,25,linear,0.9,400,-4777663.0
sa,large-graph,42,25,linear,0.95,100,-4777663.0
sa,large-graph,42,25,linear,0.95,200,-4777663.0
sa,large-graph,42,25,linear,0.95,400,-4777663.0
sa,large-graph,42,25,linear,0.99,100,-4777663.0
sa,large-graph,42,25,linear,0.99,200,-4777663.0
sa,large-graph,42,25,linear,0.99,400,-4777663.0
sa,large-graph,42,25,adaptive,0.85,100,-4777663.0
sa,large-graph,42,25,adaptive,0.85,200,-4777663.0
sa,large-graph,42,25,adaptive,0.85,400,-4777663.0
sa,large-graph,42,25,adaptive,0.9,100,-4777663.0
sa,large-graph,42,25,adaptive,0.9,200,-4777663.0
sa,large-graph,42,25,adaptive,0.9,400,-4777663.0
sa,large-graph,42,25,adaptive,0.95,100,-4777663.0
sa,large-graph,42,25,adaptive,0.95,200,-4777663.0
sa,large-graph,42,25,adaptive,0.95,400,-4777663.0
sa,large-graph,42,25,adaptive,0.99,100,-4777663.0
sa,large-graph,42,25,adaptive,0.99,200,-4777663.0
sa,large-graph,42,25,adaptive,0.99,400,-4777663.0
