tech,problem,seed,budget,schedule,alpha,steps_per_t,score
sa_amosa,small-graph,42,25,geometric,0.85,100,-1814523.0
sa_amosa,small-graph,42,25,geometric,0.85,200,-1814551.0
sa_amosa,small-graph,42,25,geometric,0.85,400,-1814511.0
sa_amosa,small-graph,42,25,geometric,0.9,100,-1814511.0
sa_amosa,small-graph,42,25,geometric,0.9,200,-1814511.0
sa_amosa,small-graph,42,25,geometric,0.9,400,-1814493.0
sa_amosa,small-graph,42,25,geometric,0.95,100,-1814501.0
sa_amosa,small-graph,42,25,geometric,0.95,200,-1814493.0
sa_amosa,small-graph,42,25,geometric,0.95,400,-1814493.0
sa_amosa,small-graph,42,25,geometric,0.99,100,-1814493.0
sa_amosa,small-graph,42,25,geometric,0.99,200,-1814507.0
sa_amosa,small-graph,42,25,geometric,0.99,400,-1814520.0
sa_amosa,small-graph,42,25,linear,0.85,100,-1814558.0
sa_amosa,small-graph,42,25,linear,0.85,200,-1814501.0
sa_amosa,small-graph,42,25,linear,0.85,400,-1814526.0
sa_amosa,small-graph,42,25,linear,0.9,100,-1814552.0
sa_amosa,small-graph,42,25,linear,0.9,200,-1814507.0
sa_amosa,small-graph,42,25,linear,0.9,400,-1814518.0
sa_amosa,small-graph,42,25,linear,0.95,100,-1814552.0
sa_amosa,small-graph,42,25,linear,0.95,200,-1814523.0
sa_amosa,small-graph,42,25,linear,0.95,400,-1814518.0
sa_amosa,small-graph,42,25,linear,0.99,100,-1814538.0
sa_amosa,small-graph,42,25,linear,0.99,200,-1814523.0
sa_amosa,small-graph,42,25,linear,0.99,400,-1814518.0
sa_amosa,small-graph,42,25,adaptive,0.85,100,-1814523.0
sa_amosa,small-graph,42,25,adaptive,0.85,200,-1814551.0
sa_amosa,small-graph,42,25,adaptive,0.85,400,-1814511.0
sa_amosa,small-graph,42,25,adaptive,0.9,100,-1814511.0
sa_amosa,small-graph,42,25,adaptive,0.9,200,-1814511.0
sa_amosa,small-graph,42,25,adaptive,0.9,400,-1814493.0
sa_amosa,small-graph,42,25,adaptive,0.95,100,-1814501.0
sa_amosa,small-graph,42,25,adaptive,0.95,200,-1814493.0
sa_amosa,small-graph,42,25,adaptive,0.95,400,-1814493.0
sa_amosa,small-graph,42,25,adaptive,0.99,100,-1814493.0
