tech,problem,seed,budget,pop,pc,pm,score
sms,small-graph,42,25,20,0.7,0.2,-1814510.0
sms,small-graph,42,25,20,0.7,0.4,-1816709.0
sms,small-graph,42,25,20,0.7,0.6,-1814583.0
sms,small-graph,42,25,20,0.9,0.2,-1818395.0
sms,small-graph,42,25,20,0.9,0.4,-1816662.0
sms,small-graph,42,25,20,0.9,0.6,-1814975.0
sms,small-graph,42,25,40,0.7,0.2,-1816528.0
sms,small-graph,42,25,40,0.7,0.4,-1814596.0
sms,small-graph,42,25,40,0.7,0.6,-1816126.0
sms,small-graph,42,25,40,0.9,0.2,-1814545.0
sms,small-graph,42,25,40,0.9,0.4,-1814524.0
sms,small-graph,42,25,40,0.9,0.6,-1814816.0
sms,small-graph,42,25,80,0.7,0.2,-1814542.0
sms,small-graph,42,25,80,0.7,0.4,-1814710.0
sms,small-graph,42,25,80,0.7,0.6,-1815744.0
sms,small-graph,42,25,80,0.9,0.2,-1814826.0
sms,small-graph,42,25,80,0.9,0.4,-1814826.0
sms,small-graph,42,25,80,0.9,0.6,-1814400.0
sms,medium-graph,42,12,20,0.7,0.2,-1589195.0
sms,medium-graph,42,12,20,0.7,0.4,-1589195.0
sms,medium-graph,42,12,20,0.7,0.6,-1589195.0
sms,medium-graph,42,12,20,0.9,0.2,-1589195.0
sms,medium-graph,42,12,20,0.9,0.4,-1590049.0
sms,medium-graph,42,12,20,0.9,0.6,-1589195.0
sms,medium-graph,42,12,40,0.7,0.2,-1589195.0
sms,medium-graph,42,12,40,0.7,0.4,-1589195.0
sms,medium-graph,42,12,40,0.7,0.6,-1589195.0
sms,medium-graph,42,12,40,0.9,0.2,-1589195.0
sms,medium-graph,42,12,40,0.9,0.4,-1589195.0
sms,medium-graph,42,12,40,0.9,0.6,-1589195.0
sms,medium-graph,42,12,80,0.7,0.2,-1589195.0
sms,medium-graph,42,12,80,0.7,0.4,-1589195.0
sms,medium-graph,42,12,80,0.7,0.6,-1589195.0
sms,medium-graph,42,12,80,0.9,0.2,-1589195.0
sms,medium-graph,42,12,80,0.9,0.4,-1589195.0
sms,medium-graph,42,12,80,0.9,0.6,-1589195.0
sms,large-graph,42,25,20,0.7,0.2,-4779701.0
sms,large-graph,42,25,20,0.7,0.4,-4770895.0
sms,large-graph,42,25,20,0.7,0.6,-4771403.0
sms,large-graph,42,25,20,0.9,0.2,-4768725.0
sms,large-graph,42,25,20,0.9,0.4,-4770129.0
sms,large-graph,42,25,20,0.9,0.6,-4771405.0
sms,large-graph,42,25,40,0.7,0.2,-4768725.0
sms,large-graph,42,25,40,0.7,0.4,-4768725.0
sms,large-graph,42,25,40,0.7,0.6,-4768725.0
sms,large-graph,42,25,40,0.9,0.2,-4768725.0
sms,large-graph,42,25,40,0.9,0.4,-4768725.0
sms,large-graph,42,25,40,0.9,0.6,-4768725.0
sms,large-graph,42,25,80,0.7,0.2,-4768725.0
sms,large-graph,42,25,80,0.7,0.4,-4768725.0
sms,large-graph,42,25,80,0.7,0.6,-4768725.0
sms,large-graph,42,25,80,0.9,0.2,-4768725.0
sms,large-graph,42,25,80,0.9,0.4,-4768725.0
sms,large-graph,42,25,80,0.9,0.6,-4768725.0
