tech,problem,seed,budget,pop,pm,ls_steps,score
sms_ls,small-graph,42,25,20,0.3,50,-1815819.0
sms_ls,small-graph,42,25,20,0.3,100,-1814940.0
sms_ls,small-graph,42,25,20,0.3,200,-1814573.0
sms_ls,small-graph,42,25,20,0.6,50,-1814588.0
sms_ls,small-graph,42,25,20,0.6,100,-1815092.0
sms_ls,small-graph,42,25,20,0.6,200,-1814573.0
sms_ls,small-graph,42,25,40,0.3,50,-1815246.0
sms_ls,small-graph,42,25,40,0.3,100,-1814446.0
sms_ls,small-graph,42,25,40,0.3,200,-1814629.0
sms_ls,small-graph,42,25,40,0.6,50,-1815137.0
sms_ls,small-graph,42,25,40,0.6,100,-1814329.0
sms_ls,small-graph,42,25,40,0.6,200,-1814568.0
sms_ls,medium-graph,42,12,20,0.3,50,-1593060.0
sms_ls,medium-graph,42,12,20,0.3,100,-1592166.0
sms_ls,medium-graph,42,12,20,0.3,200,-1594821.0
sms_ls,medium-graph,42,12,20,0.6,50,-1591237.0
sms_ls,medium-graph,42,12,20,0.6,100,-1591431.0
sms_ls,medium-graph,42,12,20,0.6,200,-1594821.0
sms_ls,medium-graph,42,12,40,0.3,50,-1589195.0
sms_ls,medium-graph,42,12,40,0.3,100,-1589195.0
sms_ls,medium-graph,42,12,40,0.3,200,-1589195.0
sms_ls,medium-graph,42,12,40,0.6,50,-1589195.0
sms_ls,medium-graph,42,12,40,0.6,100,-1589195.0
sms_ls,medium-graph,42,12,40,0.6,200,-1589195.0
sms_ls,large-graph,42,25,20,0.3,50,-4768725.0
sms_ls,large-graph,42,25,20,0.3,100,-4785225.0
sms_ls,large-graph,42,25,20,0.3,200,-4768725.0
sms_ls,large-graph,42,25,20,0.6,50,-4768725.0
sms_ls,large-graph,42,25,20,0.6,100,-4785225.0
sms_ls,large-graph,42,25,20,0.6,200,-4768725.0
sms_ls,large-graph,42,25,40,0.3,50,-4768725.0
sms_ls,large-graph,42,25,40,0.3,100,-4768725.0
sms_ls,large-graph,42,25,40,0.3,200,-4768725.0
sms_ls,large-graph,42,25,40,0.6,50,-4768725.0
sms_ls,large-graph,42,25,40,0.6,100,-4768725.0
sms_ls,large-graph,42,25,40,0.6,200,-4768725.0
