tech,problem,seed,budget,k_max,shake_strength,ls_steps,score
vns,small-graph,42,25,2,1,150,-1814939.0
vns,small-graph,42,25,2,1,300,-1814808.0
vns,small-graph,42,25,2,1,600,-1815048.0
vns,small-graph,42,25,2,2,150,-1814964.0
vns,small-graph,42,25,2,2,300,-1815247.0
vns,small-graph,42,25,2,2,600,-1815418.0
vns,small-graph,42,25,2,4,150,-1814694.0
vns,small-graph,42,25,2,4,300,-1815132.0
vns,small-graph,42,25,2,4,600,-1814547.0
vns,small-graph,42,25,4,1,150,-1814524.0
vns,small-graph,42,25,4,1,300,-1815327.0
vns,small-graph,42,25,4,1,600,-1815048.0
vns,small-graph,42,25,4,2,150,-1815027.0
vns,small-graph,42,25,4,2,300,-1815247.0
vns,small-graph,42,25,4,2,600,-1815028.0
vns,small-graph,42,25,4,4,150,-1815026.0
vns,small-graph,42,25,4,4,300,-1815018.0
vns,small-graph,42,25,4,4,600,-1814518.0
vns,small-graph,42,25,6,1,150,-1815115.0
vns,small-graph,42,25,6,1,300,-1815327.0
vns,small-graph,42,25,6,1,600,-1815048.0
vns,small-graph,42,25,6,2,150,-1814929.0
vns,small-graph,42,25,6,2,300,-1815247.0
vns,small-graph,42,25,6,2,600,-1815028.0
vns,small-graph,42,25,6,4,150,-1814955.0
vns,small-graph,42,25,6,4,300,-1814544.0
vns,small-graph,42,25,6,4,600,-1814518.0
vns,small-graph,42,25,10,1,150,-1814524.0
vns,small-graph,42,25,10,1,300,-1815327.0
vns,small-graph,42,25,10,1,600,-1815048.0
vns,small-graph,42,25,10,2,150,-1814930.0
vns,small-graph,42,25,10,2,300,-1815247.0
vns,small-graph,42,25,10,2,600,-1815028.0
vns,small-graph,42,25,10,4,150,-1814955.0
vns,small-graph,42,25,10,4,300,-1814544.0
vns,small-graph,42,25,10,4,600,-1814518.0
vns,medium-graph,42,12,2,1,150,-1608646.0
vns,medium-graph,42,12,2,1,300,-1608653.0
vns,medium-graph,42,12,2,1,600,-1608649.0
vns,medium-graph,42,12,2,2,150,-1608650.0
vns,medium-graph,42,12,2,2,300,-1608653.0
vns,medium-graph,42,12,2,2,600,-1608646.0
vns,medium-graph,42,12,2,4,150,-1608627.0
vns,medium-graph,42,12,2,4,300,-1608650.0
vns,medium-graph,42,12,2,4,600,-1608650.0
vns,medium-graph,42,12,4,1,150,-1608646.0
vns,medium-graph,42,12,4,1,300,-1608653.0
vns,medium-graph,42,12,4,1,600,-1608649.0
vns,medium-graph,42,12,4,2,150,-1608650.0
vns,medium-graph,42,12,4,2,300,-1608653.0
vns,medium-graph,42,12,4,2,600,-1608646.0
vns,medium-graph,42,12,4,4,150,-1608627.0
vns,medium-graph,42,12,4,4,300,-1608650.0
vns,medium-graph,42,12,4,4,600,-1608650.0
vns,medium-graph,42,12,6,1,150,-1608646.0
vns,medium-graph,42,12,6,1,300,-1608653.0
vns,medium-graph,42,12,6,1,600,-1608649.0
vns,medium-graph,42,12,6,2,150,-1608650.0
vns,medium-graph,42,12,6,2,300,-1608653.0
vns,medium-graph,42,12,6,2,600,-1608646.0
vns,medium-graph,42,12,6,4,150,-1608629.0
vns,medium-graph,42,12,6,4,300,-1608650.0
vns,medium-graph,42,12,6,4,600,-1608650.0
vns,medium-graph,42,12,10,1,150,-1608646.0
vns,medium-graph,42,12,10,1,300,-1608653.0
vns,medium-graph,42,12,10,1,600,-1608649.0
vns,medium-graph,42,12,10,2,150,-1608650.0
vns,medium-graph,42,12,10,2,300,-1608653.0
vns,medium-graph,42,12,10,2,600,-1608646.0
vns,medium-graph,42,12,10,4,150,-1608629.0
vns,medium-graph,42,12,10,4,300,-1608650.0
vns,medium-graph,42,12,10,4,600,-1608650.0
vns,large-graph,42,25,2,1,150,-4807533.0
vns,large-graph,42,25,2,1,300,-4793386.0
vns,large-graph,42,25,2,1,600,-4793386.0
vns,large-graph,42,25,2,2,150,-4794081.0
vns,large-graph,42,25,2,2,300,-4793552.0
vns,large-graph,42,25,2,2,600,-4793552.0
vns,large-graph,42,25,2,4,150,-4794395.0
vns,large-graph,42,25,2,4,300,-4802235.0
vns,large-graph,42,25,2,4,600,-4803289.0
vns,large-graph,42,25,4,1,150,-4797903.0
vns,large-graph,42,25,4,1,300,-4793386.0
vns,large-graph,42,25,4,1,600,-4793386.0
vns,large-graph,42,25,4,2,150,-4794081.0
vns,large-graph,42,25,4,2,300,-4793552.0
vns,large-graph,42,25,4,2,600,-4793552.0
vns,large-graph,42,25,4,4,150,-4795961.0
vns,large-graph,42,25,4,4,300,-4802235.0
vns,large-graph,42,25,4,4,600,-4802235.0
vns,large-graph,42,25,6,1,150,-4797903.0
vns,large-graph,42,25,6,1,300,-4793386.0
vns,large-graph,42,25,6,1,600,-4793386.0
vns,large-graph,42,25,6,2,150,-4794081.0
vns,large-graph,42,25,6,2,300,-4793552.0
vns,large-graph,42,25,6,2,600,-4793552.0
vns,large-graph,42,25,6,4,150,-4795961.0
vns,large-graph,42,25,6,4,300,-4802235.0
vns,large-graph,42,25,6,4,600,-4802235.0
vns,large-graph,42,25,10,1,150,-4797903.0
vns,large-graph,42,25,10,1,300,-4793386.0
vns,large-graph,42,25,10,1,600,-4793386.0
vns,large-graph,42,25,10,2,150,-4794081.0
vns,large-graph,42,25,10,2,300,-4793552.0
vns,large-graph,42,25,10,2,600,-4793552.0
vns,large-graph,42,25,10,4,150,-4795961.0
vns,large-graph,42,25,10,4,300,-4802235.0
vns,large-graph,42,25,10,4,600,-4803289.0
