tech,problem,seed,budget,k_max,shake_strength,vnd_k,score
vns_vnd,small-graph,42,25,2,1,4,-1814876.0
vns_vnd,small-graph,42,25,2,1,8,-1814762.0
vns_vnd,small-graph,42,25,2,1,16,-1814560.0
vns_vnd,small-graph,42,25,2,2,4,-1814870.0
vns_vnd,small-graph,42,25,2,2,8,-1814645.0
vns_vnd,small-graph,42,25,2,2,16,-1815493.0
vns_vnd,small-graph,42,25,2,4,4,-1814804.0
vns_vnd,small-graph,42,25,2,4,8,-1815038.0
vns_vnd,small-graph,42,25,2,4,16,-1815051.0
vns_vnd,small-graph,42,25,4,1,4,-1814624.0
vns_vnd,small-graph,42,25,4,1,8,-1814692.0
vns_vnd,small-graph,42,25,4,1,16,-1815182.0
vns_vnd,small-graph,42,25,4,2,4,-1814869.0
vns_vnd,small-graph,42,25,4,2,8,-1815063.0
vns_vnd,small-graph,42,25,4,2,16,-1815426.0
vns_vnd,small-graph,42,25,4,4,4,-1814788.0
vns_vnd,small-graph,42,25,4,4,8,-1814568.0
vns_vnd,small-graph,42,25,4,4,16,-1815051.0
vns_vnd,small-graph,42,25,6,1,4,-1814928.0
vns_vnd,small-graph,42,25,6,1,8,-1814737.0
vns_vnd,small-graph,42,25,6,1,16,-1815182.0
vns_vnd,small-graph,42,25,6,2,4,-1815142.0
vns_vnd,small-graph,42,25,6,2,8,-1814960.0
vns_vnd,small-graph,42,25,6,2,16,-1815137.0
vns_vnd,small-graph,42,25,6,4,4,-1814930.0
vns_vnd,small-graph,42,25,6,4,8,-1814715.0
vns_vnd,small-graph,42,25,6,4,16,-1815051.0
vns_vnd,small-graph,42,25,10,1,4,-1814516.0
vns_vnd,small-graph,42,25,10,1,8,-1814807.0
vns_vnd,small-graph,42,25,10,1,16,-1815182.0
vns_vnd,small-graph,42,25,10,2,4,-1815126.0
vns_vnd,small-graph,42,25,10,2,8,-1814514.0
vns_vnd,small-graph,42,25,10,2,16,-1815116.0
vns_vnd,small-graph,42,25,10,4,4,-1814675.0
vns_vnd,small-graph,42,25,10,4,8,-1814715.0
vns_vnd,small-graph,42,25,10,4,16,-1815051.0
vns_vnd,medium-graph,42,12,2,1,4,-1608656.0
vns_vnd,medium-graph,42,12,2,1,8,-1608651.0
vns_vnd,medium-graph,42,12,2,1,16,-1608616.0
vns_vnd,medium-graph,42,12,2,2,4,-1608717.0
vns_vnd,medium-graph,42,12,2,2,8,-1608645.0
vns_vnd,medium-graph,42,12,2,2,16,-1608621.0
vns_vnd,medium-graph,42,12,2,4,4,-1608652.0
vns_vnd,medium-graph,42,12,2,4,8,-1608650.0
vns_vnd,medium-graph,42,12,2,4,16,-1608632.0
vns_vnd,medium-graph,42,12,4,1,4,-1608656.0
vns_vnd,medium-graph,42,12,4,1,8,-1608651.0
vns_vnd,medium-graph,42,12,4,1,16,-1608616.0
vns_vnd,medium-graph,42,12,4,2,4,-1608717.0
vns_vnd,medium-graph,42,12,4,2,8,-1608645.0
vns_vnd,medium-graph,42,12,4,2,16,-1608621.0
vns_vnd,medium-graph,42,12,4,4,4,-1608652.0
vns_vnd,medium-graph,42,12,4,4,8,-1608647.0
vns_vnd,medium-graph,42,12,4,4,16,-1608632.0
vns_vnd,medium-graph,42,12,6,1,4,-1608656.0
vns_vnd,medium-graph,42,12,6,1,8,-1608651.0
vns_vnd,medium-graph,42,12,6,1,16,-1608616.0
vns_vnd,medium-graph,42,12,6,2,4,-1608717.0
vns_vnd,medium-graph,42,12,6,2,8,-1608645.0
vns_vnd,medium-graph,42,12,6,2,16,-1608615.0
vns_vnd,medium-graph,42,12,6,4,4,-1608652.0
vns_vnd,medium-graph,42,12,6,4,8,-1608650.0
vns_vnd,medium-graph,42,12,6,4,16,-1608632.0
vns_vnd,medium-graph,42,12,10,1,4,-1608656.0
vns_vnd,medium-graph,42,12,10,1,8,-1608651.0
vns_vnd,medium-graph,42,12,10,1,16,-1608616.0
vns_vnd,medium-graph,42,12,10,2,4,-1608717.0
vns_vnd,medium-graph,42,12,10,2,8,-1608645.0
vns_vnd,medium-graph,42,12,10,2,16,-1608621.0
vns_vnd,medium-graph,42,12,10,4,4,-1608652.0
vns_vnd,medium-graph,42,12,10,4,8,-1608650.0
vns_vnd,medium-graph,42,12,10,4,16,-1608632.0
vns_vnd,large-graph,42,25,2,1,4,-4793584.0
vns_vnd,large-graph,42,25,2,1,8,-4793482.0
vns_vnd,large-graph,42,25,2,1,16,-4793092.0
vns_vnd,large-graph,42,25,2,2,4,-4793617.0
vns_vnd,large-graph,42,25,2,2,8,-4793451.0
vns_vnd,large-graph,42,25,2,2,16,-4793114.0
vns_vnd,large-graph,42,25,2,4,4,-4793598.0
vns_vnd,large-graph,42,25,2,4,8,-4794195.0
vns_vnd,large-graph,42,25,2,4,16,-4793157.0
vns_vnd,large-graph,42,25,4,1,4,-4793584.0
vns_vnd,large-graph,42,25,4,1,8,-4793482.0
vns_vnd,large-graph,42,25,4,1,16,-4793092.0
vns_vnd,large-graph,42,25,4,2,4,-4793617.0
vns_vnd,large-graph,42,25,4,2,8,-4793451.0
vns_vnd,large-graph,42,25,4,2,16,-4793114.0
vns_vnd,large-graph,42,25,4,4,4,-4793598.0
vns_vnd,large-graph,42,25,4,4,8,-4794195.0
vns_vnd,large-graph,42,25,4,4,16,-4793157.0
vns_vnd,large-graph,42,25,6,1,4,-4793584.0
vns_vnd,large-graph,42,25,6,1,8,-4793482.0
vns_vnd,large-graph,42,25,6,1,16,-4793092.0
vns_vnd,large-graph,42,25,6,2,4,-4793617.0
vns_vnd,large-graph,42,25,6,2,8,-4793451.0
vns_vnd,large-graph,42,25,6,2,16,-4793114.0
vns_vnd,large-graph,42,25,6,4,4,-4793598.0
