dataset: 583278 rows from /Users/adrianymeri/Desktop/SpOC3/Torso Decompositions/.feature_cache/rank_externals.jsonl
  w | quota-t | rand | outdeg | GBDT   (achieved width; lower=better, ==w is the bound)
  130 |   807 | None | 227 | 395
  134 |   795 | None | 227 | 398
  138 |   783 | None | 227 | 431
  142 |   771 | None | 227 | 237
  146 |   759 | None | 227 | 398
  150 |   747 | None | 227 | 284
  154 |   735 | None | 228 | 395
  158 |   723 | None | 229 | 291
  162 |   711 | None | 233 | 272
  166 |   699 | None | 237 | 434
  170 |   687 | None | 240 | 267
  174 |   675 | None | 242 | None
  178 |   663 | None | 245 | 266
  182 |   651 | None | 248 | 314
  186 |   639 | None | 252 | 312
  190 |   627 | None | 254 | 282
  194 |   615 | None | 256 | 279
  198 |   603 | None | 257 | 277
  202 |   591 | None | 260 | 294
  206 |   579 | None | 264 | 299
  210 |   567 | None | 268 | 316
  214 |   555 | None | 269 | 297
  218 |   543 | None | 272 | 271
  222 |   531 | 392 | 275 | 328
  226 |   519 | 424 | 278 | 311
  230 |   507 | 360 | 280 | 281
  234 |   495 | None | 281 | 301
  238 |   483 | 419 | 283 | 334
  242 |   471 | 409 | 286 | 340
  246 |   459 | 466 | 286 | 350
  250 |   447 | 396 | 288 | 398
  254 |   435 | 410 | 290 | 374
  258 |   423 | 390 | 290 | 321
  262 |   411 | 377 | 292 | 372
  266 |   399 | 421 | 294 | 409
  270 |   387 | 422 | 295 | 354
  274 |   375 | 418 | 295 | 382
  278 |   363 | 414 | 296 | 384
  282 |   351 | 348 | 298 | 376
  286 |   339 | 440 | 298 | 323
  290 |   327 | 301 | 298 | 304
  294 |   315 | 320 | 298 | 301
  298 |   303 | 298 | 298 | 298
banked GBDT constructions -> /Users/adrianymeri/Desktop/SpOC3/Torso Decompositions/submissions/large-graph/cp_gbdt.json
