instance,n,solver,seed,score,seconds,valid
small-graph,1357,fast_cma_es,1,-1807719,1202.2,True
small-graph,1357,fast_cma_es,2,-1808034,1200.9,True
small-graph,1357,fast_cma_es,3,-1807148,1200.7,True
medium-graph,1399,fast_cma_es,1,-1659249,1202.6,True
medium-graph,1399,fast_cma_es,2,-1663147,1202.3,True
medium-graph,1399,fast_cma_es,3,-1658182,1203.3,True
large-graph,2426,fast_cma_es,1,-5329389,1207.5,True
large-graph,2426,fast_cma_es,2,-5290070,1210.0,True
large-graph,2426,fast_cma_es,3,-5262127,1210.0,True
synth-1,1357,fast_cma_es,1,-1804199,1200.8,True
synth-1,1357,fast_cma_es,2,-1803399,1200.9,True
synth-1,1357,fast_cma_es,3,-1804510,1200.8,True
synth-2,1357,fast_cma_es,1,-1803847,1200.9,True
synth-2,1357,fast_cma_es,2,-1802840,1201.0,True
synth-2,1357,fast_cma_es,3,-1803596,1200.9,True
synth-3,1357,fast_cma_es,1,-1803163,1200.8,True
synth-3,1357,fast_cma_es,2,-1804271,1200.9,True
synth-3,1357,fast_cma_es,3,-1804390,1200.9,True
synth-4,1399,fast_cma_es,1,-1585523,1203.7,True
synth-4,1399,fast_cma_es,2,-1586305,1203.4,True
synth-4,1399,fast_cma_es,3,-1584087,1203.4,True
synth-5,1399,fast_cma_es,1,-1578844,1204.2,True
synth-5,1399,fast_cma_es,2,-1581827,1202.5,True
synth-5,1399,fast_cma_es,3,-1582930,1204.2,True
synth-6,2426,fast_cma_es,1,-5167178,1309.7,True
synth-6,2426,fast_cma_es,2,-5056039,1345.0,True
synth-6,2426,fast_cma_es,3,-5031713,1384.2,True
synth-7,2426,fast_cma_es,1,-4930101,1927.3,True
synth-7,2426,fast_cma_es,2,-4921607,1214.5,True
small-graph,1357,hill_climbing,1,-1814530,1200.2,True
small-graph,1357,hill_climbing,2,-1815437,1200.2,True
small-graph,1357,hill_climbing,3,-1814547,1200.2,True
medium-graph,1399,hill_climbing,1,-1615216,1201.5,True
medium-graph,1399,hill_climbing,2,-1612542,1201.4,True
medium-graph,1399,hill_climbing,3,-1608489,1201.4,True
large-graph,2426,hill_climbing,1,-4796797,1208.1,True
large-graph,2426,hill_climbing,2,-4800393,1207.9,True
large-graph,2426,hill_climbing,3,-4804444,1207.9,True
synth-1,1357,hill_climbing,1,-1819934,1200.1,True
synth-1,1357,hill_climbing,2,-1818612,1200.2,True
synth-1,1357,hill_climbing,3,-1818742,1200.2,True
synth-2,1357,hill_climbing,1,-1819894,1200.1,True
synth-2,1357,hill_climbing,2,-1819958,1200.2,True
synth-2,1357,hill_climbing,3,-1819911,1200.1,True
synth-3,1357,hill_climbing,1,-1819897,1200.1,True
synth-3,1357,hill_climbing,2,-1819942,1200.1,True
synth-3,1357,hill_climbing,3,-1819944,1200.1,True
synth-4,1399,hill_climbing,1,-1551822,1202.0,True
synth-4,1399,hill_climbing,2,-1550823,1202.0,True
synth-4,1399,hill_climbing,3,-1564037,1202.3,True
synth-5,1399,hill_climbing,1,-1562142,1202.1,True
synth-5,1399,hill_climbing,2,-1554222,1202.0,True
synth-5,1399,hill_climbing,3,-1551628,1202.0,True
synth-6,2426,hill_climbing,1,-4795457,2978.3,True
synth-6,2426,hill_climbing,2,-4795376,4435.3,True
small-graph,1357,hri,1,-1820882,1200.2,True
small-graph,1357,hri,2,-1819464,1200.2,True
small-graph,1357,hri,3,-1818926,1200.2,True
medium-graph,1399,hri,1,-1674300,1202.3,True
medium-graph,1399,hri,2,-1682428,1202.4,True
medium-graph,1399,hri,3,-1602052,1202.6,True
large-graph,2426,hri,1,-4829467,1209.0,True
large-graph,2426,hri,2,-4836783,1208.6,True
large-graph,2426,hri,3,-4834244,1208.8,True
synth-1,1357,hri,1,-1818732,1200.2,True
synth-1,1357,hri,2,-1814806,1200.2,True
synth-1,1357,hri,3,-1818062,1200.2,True
synth-2,1357,hri,1,-1817443,1200.2,True
synth-2,1357,hri,2,-1820165,1200.2,True
synth-2,1357,hri,3,-1817634,1200.2,True
synth-3,1357,hri,1,-1817640,1200.2,True
synth-3,1357,hri,2,-1816338,1200.2,True
synth-3,1357,hri,3,-1816772,1200.2,True
synth-4,1399,hri,1,-1592293,1203.0,True
synth-4,1399,hri,2,-1588433,1203.1,True
synth-4,1399,hri,3,-1592317,1203.3,True
synth-5,1399,hri,1,-1554874,1203.0,True
synth-5,1399,hri,2,-1551853,1203.0,True
synth-5,1399,hri,3,-1597450,1202.9,True
synth-6,2426,hri,1,-4795794,1316.5,True
synth-6,2426,hri,2,-4796236,1350.3,True
synth-6,2426,hri,3,-4797902,1385.2,True
synth-7,2426,hri,1,-4794398,1928.0,True
synth-7,2426,hri,2,-4795646,1208.4,True
small-graph,1357,min_degree,1,-1813181,0.2,True
medium-graph,1399,min_degree,1,-1598465,1.3,True
large-graph,2426,min_degree,1,-4793652,8.1,True
synth-1,1357,min_degree,1,-1818533,0.1,True
synth-2,1357,min_degree,1,-1817194,0.1,True
synth-3,1357,min_degree,1,-1817194,0.1,True
synth-4,1399,min_degree,1,-1547570,1.8,True
synth-5,1399,min_degree,1,-1550828,1.9,True
synth-6,2426,min_degree,1,-4793652,8.0,True
synth-7,2426,min_degree,1,-4793652,7.9,True
small-graph,1357,spacekangaroos,1,-1827490,1209.6,True
small-graph,1357,spacekangaroos,2,-1812221,1208.7,True
small-graph,1357,spacekangaroos,3,-1810922,1210.3,True
medium-graph,1399,spacekangaroos,1,-1566543,1219.4,True
medium-graph,1399,spacekangaroos,2,-1544821,1225.1,True
medium-graph,1399,spacekangaroos,3,-1546986,1260.1,True
large-graph,2426,spacekangaroos,1,0,1201.4,False
large-graph,2426,spacekangaroos,2,0,1201.9,False
large-graph,2426,spacekangaroos,3,0,1201.1,False
synth-1,1357,spacekangaroos,1,-1816878,1213.0,True
synth-1,1357,spacekangaroos,2,-1815564,1213.5,True
synth-1,1357,spacekangaroos,3,-1815654,1211.9,True
synth-2,1357,spacekangaroos,1,-1817483,1212.8,True
synth-2,1357,spacekangaroos,2,-1815355,1212.6,True
synth-2,1357,spacekangaroos,3,-1815756,1213.3,True
synth-3,1357,spacekangaroos,1,-1816534,1211.8,True
synth-3,1357,spacekangaroos,2,-1814924,1214.4,True
synth-3,1357,spacekangaroos,3,-1815948,1214.1,True
synth-4,1399,spacekangaroos,1,-1470135,1242.8,True
synth-4,1399,spacekangaroos,2,-1483952,1230.1,True
synth-4,1399,spacekangaroos,3,-1482556,1262.9,True
synth-5,1399,spacekangaroos,1,-1465258,1234.5,True
synth-5,1399,spacekangaroos,2,-1473387,1222.5,True
synth-5,1399,spacekangaroos,3,-1462223,1248.4,True
synth-6,2426,spacekangaroos,1,0,1201.4,False
synth-6,2426,spacekangaroos,2,0,1201.2,False
synth-6,2426,spacekangaroos,3,0,1201.6,False
